task_id,split,format_legal,tool_success,parameter_success,success,false_success,call_count,terminal_reward,shaped_reward
challenge-0039,challenge_v1,1,1,1,1,0,0,0.0,-0.28
challenge-0040,challenge_v1,1,1,1,1,0,0,0.0,-0.28
challenge-0041,challenge_v1,1,1,1,1,0,0,0.0,-0.28
challenge-0042,challenge_v1,1,1,1,1,0,0,0.0,-0.28
challenge-0043,challenge_v1,1,1,1,1,0,0,0.0,-0.28
challenge-0044,challenge_v1,1,1,1,1,0,0,0.0,-0.28
challenge-0045,challenge_v1,1,1,1,1,0,0,0.0,-0.28
challenge-0046,challenge_v1,1,1,1,1,0,0,0.0,-0.28
challenge-0047,challenge_v1,1,1,1,0,0,0,0.0,-0.28
challenge-0048,challenge_v1,1,1,1,1,0,0,0.0,-0.28
challenge-0049,challenge_v1,1,1,1,1,0,0,0.0,-0.28
challenge-0050,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0051,challenge_v1,1,0,0,0,1,3,0.0,-0.54
challenge-0052,challenge_v1,1,0,0,0,1,3,0.0,-0.54
challenge-0053,challenge_v1,1,0,0,0,1,3,0.0,-0.54
challenge-0054,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0055,challenge_v1,1,0,0,0,1,3,0.0,-0.54
challenge-0056,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0057,challenge_v1,1,0,0,0,1,3,0.0,-0.48
challenge-0058,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0059,challenge_v1,1,0,0,0,1,3,0.0,-0.54
challenge-0060,challenge_v1,1,0,0,0,1,2,0.0,-0.68
challenge-0061,challenge_v1,1,0,0,0,1,2,0.0,-0.68
challenge-0062,challenge_v1,1,0,0,0,1,2,0.0,-0.68
challenge-0063,challenge_v1,1,0,0,0,1,2,0.0,-0.68
challenge-0064,challenge_v1,1,0,0,0,1,2,0.0,-0.68
challenge-0065,challenge_v1,1,0,0,0,1,2,0.0,-0.68
challenge-0066,challenge_v1,1,1,1,0,1,2,0.0,-0.28
challenge-0067,challenge_v1,1,1,1,0,1,2,0.0,-0.28
challenge-0068,challenge_v1,1,0,0,0,1,2,0.0,-0.68
challenge-0069,challenge_v1,1,0,0,0,1,2,0.0,-0.68
challenge-0070,challenge_v1,1,1,1,1,0,1,0.0,-0.28
challenge-0071,challenge_v1,1,1,1,1,0,1,0.0,-0.28
challenge-0072,challenge_v1,1,1,1,1,0,1,0.0,-0.28
challenge-0073,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0074,challenge_v1,1,1,1,1,0,1,0.0,-0.28
challenge-0075,challenge_v1,1,1,1,1,0,1,0.0,-0.28
challenge-0076,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0077,challenge_v1,1,1,1,1,0,1,0.0,-0.28
challenge-0078,challenge_v1,1,1,1,1,0,1,0.0,-0.28
challenge-0079,challenge_v1,1,1,1,1,0,1,0.0,-0.28
challenge-0080,challenge_v1,1,1,1,0,1,2,0.0,-0.28
challenge-0081,challenge_v1,1,1,1,0,1,2,0.0,-0.28
challenge-0082,challenge_v1,1,1,1,0,1,2,0.0,-0.28
challenge-0083,challenge_v1,1,1,1,0,1,2,0.0,-0.28
challenge-0084,challenge_v1,1,1,1,0,1,2,0.0,-0.28
challenge-0085,challenge_v1,1,1,1,0,1,2,0.0,-0.28
challenge-0086,challenge_v1,1,1,1,0,1,2,0.0,-0.28
challenge-0087,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0088,challenge_v1,1,1,1,0,1,2,0.0,-0.28
challenge-0089,challenge_v1,1,1,1,0,1,2,0.0,-0.28
challenge-0090,challenge_v1,1,0,0,0,1,3,0.0,-0.48
challenge-0091,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0092,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0093,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0094,challenge_v1,1,0,0,0,1,2,0.0,-0.68
challenge-0095,challenge_v1,1,0,0,0,1,3,0.0,-0.48
challenge-0096,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0097,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0098,challenge_v1,1,0,0,0,1,3,0.0,-0.68
challenge-0099,challenge_v1,1,0,0,0,1,3,0.0,-0.48
challenge-0100,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0101,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0102,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0103,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0104,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0105,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0106,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0107,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0108,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0109,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0110,challenge_v1,1,1,1,1,0,1,0.0,-0.28
challenge-0111,challenge_v1,1,1,1,1,0,1,0.0,-0.28
challenge-0112,challenge_v1,1,1,1,1,0,1,0.0,-0.28
challenge-0113,challenge_v1,1,1,1,1,0,1,0.0,-0.28
challenge-0114,challenge_v1,1,1,1,1,0,1,0.0,-0.28
challenge-0115,challenge_v1,1,1,1,1,0,1,0.0,-0.28
challenge-0116,challenge_v1,1,1,1,1,0,1,0.0,-0.28
challenge-0117,challenge_v1,1,1,1,1,0,1,0.0,-0.28
challenge-0118,challenge_v1,1,1,1,1,0,1,0.0,-0.28
challenge-0119,challenge_v1,1,1,1,1,0,1,0.0,-0.28
